Postal Code;Name;Population;Population Density;Merger
87018;Grammichele;13064;421;087018
87019;Gravina di Catania;26543;5153;087019
87020;Licodia Eubea;3047;27;087020
87021;Linguaglossa;5416;90;087021
87022;Maletto;4015;98;087022
87023;Mascali;13792;364;087023
87024;Mascalucia;29984;1842;087024
87025;Militello in Val di Catania;7807;125;087025
87026;Milo;1065;64;087026
87027;Mineo;5216;21;087027
87028;Mirabella Imbaccari;5191;339;087028
87029;Misterbianco;47356;1257;087029
87030;Motta Sant'Anastasia;11394;319;087030
87031;Nicolosi;7156;168;087031
87032;Palagonia;16540;286;087032
87033;Paternò;47870;331;087033
87034;Pedara;12896;670;087034
87035;Piedimonte Etneo;4079;154;087035
87036;Raddusa;3280;140;087036
85015;Riesi;11814;176;085015
85016;San Cataldo;23424;322;085016
85017;Santa Caterina Villarmosa;5727;76;085017
85018;Serradifalco;6265;149;085018
85019;Sommatino;7267;209;085019
85020;Sutera;1436;40;085020
86018;Troina;9628;57;086018
86019;Valguarnera Caropepe;8182;869;086019
86020;Villarosa;5130;93;086020
87001;Aci Bonaccorsi;3200;1856;087001
87002;Aci Castello;18122;2082;087002
83002;Alì;823;52;083002
82054;Partinico;31401;291;082054
83003;Alì Terme;2567;409;083003
83004;Antillo;992;23;083004
